client_id	path	sentence	gender
VIVOS00	VIVOSSPK01_R001.wav	KHÁCH SẠN	female
VIVOS00	VIVOSSPK01_R002.wav	CHỈ BẰNG CÁCH LUÔN NỖ LỰC THÌ CUỐI CÙNG BẠN MỚI ĐƯỢC ĐỀN ĐÁP	female
VIVOS00	VIVOSDEV02_R106.wav	TRỞ NÊN THỤ ĐỘNG	male
VIVOS01	VIVOSSPK01_R003.wav	TRONG SỐ CÁC QUỐC GIA CÔNG NGHIỆP PHÁT TRIỂN	female
VIVOS01	VIVOSSPK01_R004.wav	ANH ĐÃ NHÌN THẤY TRONG NHỮNG LẢI NHẢI DÔNG DÀI CỦA NHU	female
VIVOS01	VIVOSDEV02_R122.wav	CŨNG KHIẾN CHO HỌ DÈ DẶT	male
VIVOS02	VIVOSSPK01_R005.wav	KHỦNG HOẢNG MÔI TRƯỜNG CẦN ĐƯỢC NGĂN CHẶN	female
VIVOS02	VIVOSSPK01_R006.wav	TRÔNG THẤY TÀU CÁ ĐẰNG XA ANH ĐÃ ẤN CÒI CẢNH BÁO	female
VIVOS02	VIVOSDEV02_R130.wav	CHỊ GẶN HỎI ANH THỀ SỐNG THỀ CHẾT LÀ KHÔNG CÓ	male
VIVOS03	VIVOSSPK01_R007.wav	MẤY SÀO RUỘNG CỦA GIA ĐÌNH ÔNG ĐÀNH BỎ HOANG CHO CỎ MỌC	female
VIVOS03	VIVOSSPK01_R008.wav	CÓ ĐÊM GẶP PHẢI HEO NỌC NÓ RƯỢT	female
VIVOS03	VIVOSDEV02_R132.wav	ĐIỆN THOẠI RENG NHƯNG TA CŨNG PHẢI NHẤC MÁY ĐÚNG KHÔNG	male
VIVOS04	VIVOSSPK01_R009.wav	CÁC BÀN HỌC NHỎ HẰNG NGÀY NAY TRỞ THÀNH BÀN THỜ CỦA CÁC CHÁU	female
VIVOS04	VIVOSSPK01_R010.wav	CHA MẸ TÔI THƯỜNG CHÌ CHIẾT NHAU BẰNG NHỮNG LỜI LẼ KHÓ NGHE	female
VIVOS04	VIVOSDEV02_R135.wav	CŨNG THUỘC LOẠI DÀY ĐẶC NHẤT TRONG HỆ MẶT TRỜI	male
VIVOS05	VIVOSSPK01_R021.wav	LÀM TÓC KIỂU NÀY TRÔNG BẠN QUÝ PHÁI MỘT CÁCH TỰ NHIÊN	female
VIVOS05	VIVOSSPK01_R012.wav	VỚI NHỮNG CỜ LÍP NHẠC TRUYỀN HÌNH	female
VIVOS05	VIVOSDEV02_R137.wav	CÁC VỤ THAM NHŨNG VÀ BÊ BỐI KINH TẾ	male
VIVOS06	VIVOSSPK01_R013.wav	MỘT TRONG NHỮNG CÁCH TỐT NHẤT	female
VIVOS06	VIVOSSPK01_R014.wav	ĂN CẮP PHỖNG TƯỢNG	female
VIVOS06	VIVOSDEV02_R149.wav	CHÚNG CỨ CỐ LÙI LẠI MẶC DÙ VƯỚNG VÍU GÔNG XIỀNG	male
VIVOS07	VIVOSSPK01_R015.wav	TỚI VỖ VAI HỎI VỀ CHIẾC ÁO MỚI MUA	female
VIVOS07	VIVOSSPK01_R016.wav	BÀO CHẾ NHỮNG LOẠI THUỐC CHỮA NGHIỆN MA TÚY	female
VIVOS07	VIVOSDEV02_R154.wav	BỌN BUÔN DỰ ÁN CHẠY CHỌT BÀY RA CÁC DỰ ÁN ĐỂ KIẾM CHÁC	male
VIVOS08	VIVOSSPK01_R017.wav	NHỮNG MÁI NGÓI ÂM DƯƠNG CỔ KÍNH	female
VIVOS08	VIVOSSPK01_R018.wav	MẶT MŨI NÓ CÒN CÀU CẠU	female
VIVOS08	VIVOSDEV02_R015.wav	TẤT CẢ MỌI THỨ ĐỀU KỲ LẠ MỘT CÁCH PHI THƯỜNG	male
VIVOS09	VIVOSSPK01_R019.wav	NẮNG ĐÀO LÀM ỬNG HỒNG NHỮNG ĐÔI MÁ THIẾU NỮ HÀ THÀNH	female
VIVOS09	VIVOSSPK01_R020.wav	CHIẾC Ổ THƯỜNG XUYÊN ĐƯỢC KHÓA CHẶT VÀO BÀN	female
VIVOS09	VIVOSDEV02_R164.wav	CÁC CHƯƠNG TRÌNH CA NHẠC PHẦN LỚN ĐỀU KHÔNG ĐỘT PHÁ	male
